topic_0,topic_1,topic_2,label
0.0,0.9998708963394165,0.0,1
0.0,0.9999443888664246,0.0,1
0.0,0.9693408012390137,0.030622174963355064,1
0.1715291291475296,0.8283842206001282,0.030622174963355064,1
0.1715291291475296,0.9999377131462097,0.030622174963355064,1
0.059916067868471146,0.7604476809501648,0.17963622510433197,0
0.059916067868471146,0.7604476809501648,0.999940037727356,0
0.999882161617279,0.7604476809501648,0.999940037727356,0
0.999882161617279,0.5414043068885803,0.45832908153533936,0
0.10902736335992813,0.5414043068885803,0.8909096717834473,1
0.8455619812011719,0.07175414264202118,0.08268386125564575,1
0.8455619812011719,0.07175414264202118,0.999922513961792,0
0.22947430610656738,0.06204633414745331,0.7084793448448181,0
0.22947430610656738,0.2255699783563614,0.7743624448776245,0
0.22947430610656738,0.2255699783563614,0.9999135732650757,1
0.22947430610656738,0.9998612403869629,0.9999135732650757,1
0.22947430610656738,0.9998955726623535,0.9999135732650757,1
0.22947430610656738,0.9998955726623535,0.9998451471328735,1
0.7708936333656311,0.14493218064308167,0.08417414128780365,0
0.7708936333656311,0.9999358654022217,0.08417414128780365,1
0.11571330577135086,0.9999358654022217,0.884223222732544,1
0.11571330577135086,0.9999358654022217,0.9999005198478699,1
0.9780139327049255,0.021939069032669067,0.9999005198478699,0
0.9780139327049255,0.9818427562713623,0.018092874437570572,1
0.9461230635643005,0.9818427562713623,0.05384291335940361,0
0.021375155076384544,0.9785756468772888,0.05384291335940361,1
0.2848548889160156,0.9785756468772888,0.7150896191596985,0
0.32660019397735596,0.9785756468772888,0.6733201742172241,1
0.05755775421857834,0.3690526783466339,0.5733895897865295,0
0.05755775421857834,0.9998800754547119,0.5733895897865295,1
0.9998199939727783,0.9998800754547119,0.5733895897865295,1
0.9998199939727783,0.9998990893363953,0.5733895897865295,0
0.9998199939727783,0.9998990893363953,0.990788996219635,1
0.9998793005943298,0.9998990893363953,0.990788996219635,1
0.9998793005943298,0.9998990893363953,0.9999098777770996,1
0.9998793005943298,0.3962884545326233,0.6036792993545532,1
0.9999290704727173,0.3962884545326233,0.6036792993545532,0
0.015254291705787182,0.9846993684768677,0.6036792993545532,1
0.015254291705787182,0.14757174253463745,0.8523502349853516,1
0.8160974383354187,0.18386109173297882,0.8523502349853516,0
0.8160974383354187,0.18386109173297882,0.9999068379402161,1
0.8160974383354187,0.18386109173297882,0.9999061226844788,1
0.03183743730187416,0.9681066870689392,0.9999061226844788,0
0.03183743730187416,0.030412698164582253,0.9695371985435486,1
0.03183743730187416,0.030412698164582253,0.9978882670402527,1
0.033859219402074814,0.4629373550415039,0.5032034516334534,1
0.033859219402074814,0.4629373550415039,0.9999135732650757,1
0.9998977184295654,0.4629373550415039,0.9999135732650757,1
0.0755857527256012,0.9243495464324951,0.9999135732650757,1
0.7563768029212952,0.24354498088359833,0.9999135732650757,1
0.7563768029212952,0.24354498088359833,0.9998100399971008,1
0.7563768029212952,0.24354498088359833,0.9998379945755005,1
0.7563768029212952,0.24354498088359833,0.9999145865440369,1
0.08858394622802734,0.033006686717271805,0.8784093260765076,1
0.020444655790925026,0.9432121515274048,0.036343205720186234,0
0.020444655790925026,0.9636470079421997,0.03627461940050125,1
0.9998837113380432,0.9636470079421997,0.03627461940050125,1
0.9998837113380432,0.9636470079421997,0.9998973608016968,1
0.9855363965034485,0.014426897279918194,0.9998973608016968,1
0.7700872421264648,0.014216754585504532,0.21569599211215973,1
0.7700872421264648,0.014216754585504532,0.9999063014984131,1
0.7700872421264648,0.014216754585504532,0.9998978972434998,0
0.8009496927261353,0.014216754585504532,0.19900865852832794,1
0.016933074221014977,0.9830029606819153,0.19900865852832794,1
0.016933074221014977,0.9998646974563599,0.19900865852832794,1
0.9390462636947632,0.06090366467833519,0.19900865852832794,0
0.022104335948824883,0.9778501391410828,0.19900865852832794,1
0.06748682260513306,0.9324169754981995,0.19900865852832794,0
0.9999194145202637,0.9324169754981995,0.19900865852832794,1
0.5086039900779724,0.9324169754981995,0.4902748763561249,1
0.7167166471481323,0.1217450350522995,0.16153830289840698,1
0.7167166471481323,0.1217450350522995,0.9998772740364075,1
0.18206147849559784,0.7637844681739807,0.05415402352809906,1
0.30608177185058594,0.6888037919998169,0.05415402352809906,0
0.6289524435997009,0.6888037919998169,0.3709814250469208,1
0.6308208107948303,0.369132399559021,0.3709814250469208,0
0.2973094880580902,0.7026310563087463,0.3709814250469208,1
0.9998974800109863,0.7026310563087463,0.3709814250469208,1
0.9999016523361206,0.7026310563087463,0.3709814250469208,1
0.9468665719032288,0.05307969078421593,0.3709814250469208,1
0.7291443943977356,0.10061518102884293,0.17024041712284088,1
0.16285301744937897,0.805673360824585,0.03147364780306816,0
0.9998674988746643,0.805673360824585,0.03147364780306816,0
0.09313564002513885,0.12863871455192566,0.7782256603240967,1
0.27865684032440186,0.12863871455192566,0.7212994694709778,1
0.21609461307525635,0.12863871455192566,0.783838152885437,1
